loop_time,x,y,z,angle_x,angle_y,angle_z,layer,do1,rwfs,swfs,tcp_speed_output
0.014302399998996407,173.81,-116.35,417.03,-179.45,-0.29,178.09,1.0,0.0,8.0,8.0,0.1
0.016043900046497583,173.96,-115.89,415.93,-179.45,-0.29,178.09,1.0,0.0,8.0,8.0,0.1
0.01476720004575327,174.14,-115.26,414.46,-179.44,-0.29,178.09,1.0,0.0,8.0,8.0,0.1
0.013069700042251498,174.34,-114.6,413.0,-179.44,-0.29,178.09,1.0,0.0,8.0,8.0,0.1
0.014791900001000613,174.51,-113.98,411.52,-179.44,-0.29,178.09,1.0,0.0,8.0,8.0,0.1
0.016664199996739626,174.64,-113.5,410.4,-179.44,-0.29,178.09,1.0,0.0,8.0,8.0,0.1
0.014091299963183701,174.81,-112.86,408.92,-179.44,-0.29,178.09,1.0,0.0,8.0,8.0,0.1
0.015291200019419193,174.97,-112.25,407.43,-179.44,-0.29,178.08,1.0,0.0,8.0,8.0,0.1
0.01637640001717955,175.16,-111.61,405.96,-179.44,-0.29,178.08,1.0,0.0,8.0,8.0,0.1
0.013224499998614192,175.35,-110.97,404.5,-179.44,-0.29,178.08,1.0,0.0,8.0,8.0,0.1
0.014574100030586123,175.54,-110.35,403.04,-179.44,-0.29,178.08,1.0,0.0,8.0,8.0,0.1
0.014028000005055219,175.69,-109.87,401.94,-179.44,-0.29,178.08,1.0,0.0,8.0,8.0,0.1
0.016675099963322282,175.87,-109.23,400.46,-179.44,-0.29,178.08,1.0,0.0,8.0,8.0,0.1
0.014531900000292808,176.04,-108.62,398.98,-179.44,-0.29,178.08,1.0,0.0,8.0,8.0,0.1
0.013450600032228976,176.22,-107.98,397.5,-179.44,-0.29,178.08,1.0,0.0,8.0,8.0,0.1
0.015006400004494935,176.4,-107.36,396.02,-179.44,-0.29,178.08,1.0,0.0,8.0,8.0,0.1
0.016034300031606108,176.53,-106.88,394.92,-179.44,-0.29,178.08,1.0,0.0,8.0,8.0,0.1
0.01433610002277419,176.73,-106.22,393.47,-179.44,-0.29,178.08,1.0,0.0,8.0,8.0,0.1
0.015529400028754026,176.9,-105.57,392.01,-179.44,-0.29,178.08,1.0,0.0,8.0,8.0,0.1
0.01582809997489676,177.1,-104.93,390.55,-179.44,-0.29,178.08,1.0,0.0,8.0,8.0,0.1
0.01348280004458502,177.29,-104.29,389.08,-179.43,-0.29,178.08,1.0,0.0,8.0,8.0,0.1
0.014908699959050864,177.46,-103.68,387.59,-179.43,-0.29,178.08,1.0,0.0,8.0,8.0,0.1
0.01422179996734485,177.65,-103.04,386.11,-179.43,-0.29,178.08,1.0,0.0,8.0,8.0,0.1
